ACEP_00011903-PA	ACEP_00011903-PA	Atta cephalotes	12957	aliases:H9I8U6,H9I8U6_ATTCE,ACEP_00011903,ACEP_00011903-PA,ACEP_00011903-RA,ACEP_00011903-PA
ENSPPYP00000019019	TPD52L1	Pongo abelii	9601	aliases:ABGA01112863,ABGA01112864,ABGA01112865,ABGA01112866,H2PK95_PONAB,H2PK95,TPD52L1,H2PK95_PONAB,LOC100444598,TPD52L1-201,PON:100444598,TPD52L1,TPD52L1,ENSPPYG00000016985,ENSPPYP00000019019,ENSPPYT00000019770,ENSPPYP00000019019,XM_002817323.1,XP_002817369.1,XP_002817370.1,D53,HD53,TPD52L1,TPD52L1,H2PK95,H2PK95_PONAB,ABGA01112863,ABGA01112864,ABGA01112865,ABGA01112866,TPD52L1,UPI0001D5EF64
ENSPPYP00000021535	TPD52L3	Pongo abelii	9601	aliases:ABGA01018661,H2PS68_PONAB,H2PS68,TPD52L3,TPD52L3-201,NYD-SP25,TPD52L3,TPD52L3,ENSPPYG00000019229,ENSPPYP00000021535,ENSPPYT00000022414,ENSPPYP00000021535,TPD52L3,H2PS68_PONAB,LOC100436804,PON:100436804,TPD52L3,H2PS68,H2PS68_PONAB,ABGA01018661,TPD52L3,UPI0001D5F42B,XM_002819800.1,XP_002819846.1,XP_002819847.1
ENSPPYP00000012569	TPD52L2	Pongo abelii	9601	aliases:ABGA01391402,ABGA01391403,ABGA01391404,ABGA01391405,ABGA01391406,H2P2N3_PONAB,H2P2N3,TPD52L2,TPD52L2,ENSPPYG00000011251,ENSPPYP00000012569,ENSPPYT00000013066,ENSPPYP00000012569,NP_001125212.1,H2P2N3_PONAB,TPD52L2,TPD54_PONAB,TPD52L2,CAH90426.1,H2P2N3,Q5RCT1,H2P2N3_PONAB,TPD54_PONAB,CR858187,ABGA01391402,ABGA01391403,ABGA01391404,ABGA01391405,ABGA01391406,TPD52L2,UPI000226A043
ENSPPYP00000020970	TPD52	Pongo abelii	9601	aliases:ABGA01194623,ABGA01194624,ABGA01194625,ABGA01194626,ABGA01194627,ABGA01194628,ABGA01194629,CR860364,CR926001,H2PQM6_PONAB,Q5NVM1_PONAB,Q5R6W6_PONAB,H2PQM6,Q5NVM1,Q5R6W6,DKFZP459G1312,DKFZP459J1320,TPD52,PON:100174120,TPD52,TPD52,ENSPPYG00000018695,ENSPPYP00000020970,ENSPPYT00000021810,ENSPPYP00000020970,PAB.18240,NM_001133617.1,NP_001127089.1,TPD52
ENSOCUP00000018858	TPD52	Oryctolagus cuniculus	9986	aliases:AAGW02012014,AAGW02012015,G1TPC5_RABIT,G1TPC5,TPD52,TPD52,TPD52-201,TPD52-202,ENSOCUG00000008247,ENSOCUP00000007127,ENSOCUP00000018858,ENSOCUT00000008245,ENSOCUT00000029952,ENSOCUP00000018858,OCU.3180,NM_001082360.1,NP_001075829.1,G1SUS4_RABIT,G1TPC5_RABIT,TPD52,G1SUS4,G1TPC5,G1SUS4_RABIT,G1TPC5_RABIT,AAGW02012014,AAGW02012015,AAGW02012014,AAGW02012015,TPD52,UPI0001C6245C,UPI0001C6245D
ENSOCUP00000022278	ENSOCUG00000020982	Oryctolagus cuniculus	9986	aliases:G1TV74_RABIT,G1TYW1_RABIT,G1TV74,G1TYW1,LOC100353074,LOC100353074,ENSOCUG00000020982,ENSOCUP00000020957,ENSOCUP00000022278,ENSOCUT00000030525,ENSOCUT00000030831,ENSOCUP00000022278,XP_002723847.1,G1TV74_RABIT,G1TYW1_RABIT,TPD52L2,TPD52L2-201,TPD52L2-202,LOC100353074,G1TV74,G1TYW1,G1TV74_RABIT,G1TYW1_RABIT,LOC100353074,UPI0001C60F0C,UPI0001C60F0D
ENSOCUP00000010191	ENSOCUG00000011858	Oryctolagus cuniculus	9986	aliases:AAGW02029005,AAGW02029006,G1T243_RABIT,G1T243,LOC100359143,LOC100359143,ENSOCUG00000011858,ENSOCUP00000010191,ENSOCUT00000011858,ENSOCUP00000010191,XM_002714801.1,XP_002714847.1,G1T243_RABIT,TPD52L1,TPD52L1-201,LOC100359143,G1T243,G1T243_RABIT,AAGW02029006,AAGW02029005,AAGW02029006,LOC100359143,UPI0000E30CA4
ENSOCUP00000020723	ENSOCUG00000016443	Oryctolagus cuniculus	9986	aliases:AAGW02032643,G1TUJ7_RABIT,G1TUJ7,LOC100355592,LOC100355592,ENSOCUG00000016443,ENSOCUP00000020723,ENSOCUT00000016438,ENSOCUP00000020723,XM_002707998.1,XP_002708044.1,G1TUJ7_RABIT,TPD52L3,TPD52L3-201,LOC100355592,G1TUJ7,G1TUJ7_RABIT,AAGW02032643,AAGW02032643,LOC100355592,UPI0001C65A43
ENSSTOP00000013599	TPD52	Ictidomys tridecemlineatus	43179	aliases:AGTP01087690,I3MPA5_SPETR,I3MPA5,TPD52,ENSSTOG00000015179,ENSSTOP00000013599,ENSSTOT00000015178,ENSSTOP00000013599,D52,HD52,N8L,TPD52-201,TPD52
ENSSTOP00000014102	TPD52L3	Ictidomys tridecemlineatus	43179	aliases:AGTP01051259,I3MQB0_SPETR,I3MQB0,TPD52L3,ENSSTOG00000015757,ENSSTOP00000014102,ENSSTOT00000015756,ENSSTOP00000014102,NYD-SP25,TPD52L3-201,TPD52L3
